                 Size;MS 0 ;MS 1;MS 2;MS 3;MS 4;MS 5;MS 6;MS 7
Dim. (mm)     ;;;;;;;;
D2;25;31;36;44;50;58;72;95
D3 (DP) (1);53;60;83;85;108;122;143;-
D3 (DA / DS) (1);40;50;62;70;82;96;110;-
D3 (FP / FF) (1);67;68;91;95;120;138;161;180
D3 (FA / FS) (1);54;58;70;80;94;112;128;146
D10;24;30;35;43;49;57;71;94
Ø D11 mini;66;88;110;130;155;175;220;260
Ø D12 H7/g6;61;81;102;122;142;162;204;244
D13 DIN 5480 (2);60x28x2;80x25x3;100x32x3;120x28x4;140x26x5;160x30x5;200x24x8;240x28x8
Ø D14 H7/g6;54;72;92;110;128;148;180;220
D15;25;30;35;40;50;60;80;90
D16;M8;M10;M10;M12;M12;M14;M14;M16
E1;2;2;2;2;3;3;3;3
E2;1;1;1,5;1,5;2;2;3;3
R E3 maxi;0,5;0,5;1;1;1,5;1,5;2;2
