Qty         ;MFG                     ;Catalog         ;Description                                                                                 ;MS #;
1           ;SCHNEIDER ELECTRIC      ;A9F53102        ;MINIATURE CIRCUIT BREAKER, ACTI9 IC60H SERIES, B CURVE, DIN RAIL MOUNTING                   ;3 & 6;
1           ;SCHNEIDER ELECTRIC      ;A9F53302        ;MINIATURE CIRCUIT BREAKER, ACTI9 IC60H SERIES, B CURVE, DIN RAIL MOUNTING                   ;3 & 6;
1           ;SCHNEIDER ELECTRIC      ;A9F54102        ;MINIATURE CIRCUIT BREAKER, ACTI9 IC60H SERIES, C CURVE, DIN RAIL MOUNTING                   ;3 & 6;
1           ;SCHNEIDER ELECTRIC      ;A9F54204        ;MINIATURE CIRCUIT BREAKER, ACTI9 IC60H SERIES, C CURVE, DIN RAIL MOUNTING                   ;3 & 6;
1           ;SCHNEIDER ELECTRIC      ;A9F55102        ;MINIATURE CIRCUIT BREAKER, ACTI9 IC60H SERIES, D CURVE, DIN RAIL MOUNTING                   ;3 & 6;
2           ;TELEMECANIQUE           ;CA3KN22BD3      ;CONTACTOR CA3-K - 2 NO + 2 NC - INSTANTANEOUS - 10A - 24VDC                                 ;3 & 6;
2           ;TELEMECANIQUE           ;CA4KN22BW3      ;CONTACTOR CA4-K - 2 NO + 2 NC - INSTANTANEOUS - 10A - 24VDC LOW CONSUMPTION                 ;3 & 6;
1           ;MEANWELL                ;EDR-120-24      ;24VDC POWER SUPPLY SINGLE PHASE                                                             ;3 & 6;  
1           ;TELEMECANIQUE           ;GV2L14          ;MOTOR CIRCUIT BREAKER GV2-L - 25 A - 3P  3D - MAGNETIC TRIP UNIT                            ;3;
1           ;TELEMECANIQUE           ;GV2L22          ;MOTOR CIRCUIT BREAKER GV2-L - 25 A - 3P 3D - MAGNETIC TRIP UNIT                             ;6;
1           ;TELEMECANIQUE           ;LC1D09BD        ;CONTACTOR TESYS LC1-D - 3P - AC-3 440V 9A - COIL 24VDC                                      ;3 & 6;
1           ;PROFACE                 ;PFXLM4201TADDC  ;TOUCH SCREEN 3.5" HMI                                                                       ;3 & 6;
1           ;SCHNEIDER ELECTRIC      ;RM17TG20        ;ZELIO CONTROL THREE PHASE MONITORING RELAY                                                  ;3 & 6;
1           ;LINKWELL                ;TSNO 060        ;COOLING THERMOSTAT (BLUE)                                                                   ;3 & 6;
1           ;TELEMECANIQUE           ;XB4BA61         ;BLUE PUSHBUTTON Ø22 - FLUSH SPRING RETURN - 1NO                                             ;3 & 6;
1           ;TELEMECANIQUE           ;XB4BD21         ;XB4 BLACK SELECTOR SWITCH Ø22 STANDARD HANDLE 2 POSITIONS - 1NO                             ;3 & 6;
1           ;TELEMECANIQUE           ;XB4BD33         ;XB4 BLACK SELECTOR SWITCH Ø22 STANDARD HANDLE 3 POSITIONS - 2NO                             ;3 & 6;
1           ;TELEMECANIQUE           ;XB4BD53         ;XB4 BLACK SELECTOR SWITCH Ø22 STANDARD HANDLE 3 POSITIONS - 2NO,  SPRING RETURN TO CENTRE   ;3 & 6;
1           ;TELEMECANIQUE           ;XB4BS8444       ;RED EMERGENCY STOP Ø22 - MUSHROOHEAD Ø40 - TURN TO RELEASE                                  ;3 & 6;
1           ;TELEMECANIQUE           ;XB4BVB1         ;ROUND PILOT LIGHT Ø22 - IP 65 - WHITE - INTEGRAL LED - 24V - LUGS                           ;3 & 6;
1           ;TELEMECANIQUE           ;XB4BVB3         ;ROUND PILOT LIGHT Ø22 - IP 65 - GREEN - INTEGRAL LED - 24V - LUGS                           ;3 & 6;
1           ;TELEMECANIQUE           ;XB4BVB4         ;ROUND PILOT LIGHT Ø22 - IP 65 - RED - INTEGRAL LED - 24V - LUGS                             ;3 & 6;
1           ;TELEMECANIQUE           ;XB4BVB5         ;ROUND PILOT LIGHT Ø22 - IP 65 - YELLOW - INTEGRAL LED - 24V - LUGS                          ;3 & 6;
1           ;SCHNEIDER ELECTRIC      ;XPSAF5130       ;XPS AF CONFIGURABLE SAFETY RELAY    SINGLE/DULE CHANNEL                                     ;3 & 6;
1           ;TELEMECANIQUE           ;ZB4BD2          ;SELECTOR SWITCH HEAD - 2 POSITIONS -  Ø22 - BLACK, STAY PUT                                 ;3 & 6;
1           ;OMRON                   ;H3DE-F          ;SOLID-STATE TWIN TIMER                                                                               ;3 & 6;
1           ;SOCOMEC                 ;22003003        ;32A 3 POLE LOAD BREAK SWITCH                                                                       ;3 & 6;
1           ;SOCOMEC                 ;22005005        ;SOLID NEUTRAL LINK UNSWITCHED                                                                      ;3 & 6;
1           ;SOCOMEC                 ;22990011        ;AUXILIARY CONTACT 2NO                                                                              ;3 & 6;
1           ;IMO CONTROLS LTD        ;MKV11D15        ;SCREW SENSOR                                                                                       ;3&6;
1           ;IMO CONTROLS LTD        ;VF MKCV22       ;TERMINAL COVER                                                                                    ;3&6;
