Symbol,         Title,                  Description
|image050|,     Centering,              The worm is positioned to the center of its backlash, to prepare for the next movement                    
|image051|,     Screwing Tackling,      Upward movement start            
|image052|,     Unscrewing Tackling,    Downward movement start                
|image053|,     Screwing Following,     Upward movement following            
|image054|,     Unscrewing Following,   Downward movement following                
|image055|,     Near Overspeed,         Starts blinking the more and more rapidly as the speed approaches the :guilabel:`overspeed` threshold setting        
|image056|,     Near Underspeed ,       Starts blinking the more and more rapidly as the speed approaches the 'underspeed' threshold setting            
|image057|,     Fault,                  Fault detected










